DATE,BCNSDODNS,GDPC1
1947,56.78,2034.81375
1948,62.811,2118.5115
1949,64.394,2106.55925
1950,70.439,2289.546
1951,78.868,2473.75825
1952,82.42125,2574.8985
1953,88.23525,2695.61425
1954,91.448,2680.0225
1955,97.16425,2871.19775
1956,107.4485,2932.3875
1957,117.47375,2994.132
1958,124.8985,2971.9515
1959,133.07925,3178.182
1960,142.483,3259.97075
1961,149.26325,3343.54675
1962,158.94975,3548.4085
1963,169.46525,3702.94325
1964,181.983,3916.2795
1965,200.5545,4170.74975
1966,224.5975,4445.853
1967,248.15425,4567.78075
1968,274.4235,4792.31475
1969,307.2385,4942.067
1970,352.17625,4951.2615
1971,381.93125,5114.3245
1972,416.737,5383.28175
1973,471.62525,5687.20675
1974,534.09375,5656.465
1975,565.492,5644.843
1976,595.49525,5948.995
1977,659.2665,6224.0865
1978,738.38825,6568.60825
1979,821.73175,6776.58
1980,891.625,6759.18075
1981,991.20025,6930.71025
1982,1105.19975,6805.758
1983,1202.87275,7117.72875
1984,1376.57775,7632.81225
1985,1557.42025,7951.074
1986,1770.57025,8226.3915
1987,1977.1435,8510.99
1988,2179.4155,8866.49875
1989,2389.30475,9192.134
1990,2548.25825,9365.494
1991,2553.00175,9355.35475
1992,2539.01475,9684.89175
1993,2630.74025,9951.5025
1994,2817.7095,10352.43175
1995,3024.3765,10630.3205
1996,3193.13875,11031.34975
1997,3409.44075,11521.93825
1998,3773.24075,12038.283
1999,4170.3135,12610.49125
2000,4553.282,13130.9865
2001,4728.30425,13262.07925
2002,4785.201,13493.0645
2003,4788.51925,13879.1285
2004,4908.33725,14406.3825
2005,5133.54875,14912.50875
2006,5489.1225,15338.25675
2007,6062.712,15626.0295
2008,6549.8305,15604.6875
2009,6370.56525,15208.83425
2010,6111.34825,15598.7535
2011,6235.187,15840.66425
2012,6547.079,16197.0075
2013,6932.099,16495.3695
2014,7348.79375,16912.03775
2015,7906.8085,17403.84325
2016,8334.783,17688.89025
2017,8682.07475,18108.0815
2018,9265.55175,18638.16425
2019,9796.5855,19073.05575
